idx,answer
10,"[고객을 대하는 능력. 현장에서 키워왔습니다.]
은행업무에 있어 중요한 것 고객을 대하는 능력입니다. 사람들과 직접 부딪쳐가며 그 능력을 키워왔습니다. 설문조사 아르바이트를 통해 사람들에게 들이대기도 또 거절도 당했습니다.

특히 2013년 12월, 진로 주류만족조사는 과정의 중요성을 알게 해주었습니다. 처음에는 무작정 설문조사를 부탁했습니다. 하지만 완성된 설문지 한 장 없이 욕만 먹었습니다. 문제점을 생각해보니

첫째, 즐겁게 무르익은 술자리에서 어떤 양해도 없이 무작정 분위기를 깬 것입니다. 둘째, 순서도 문제가 있었습니다. 무료안주와 소주를 설문을 해야만 나누어 줬기 때문입니다.

그래서 방법을 조금 바꿔보았습니다. 먼저 테이블에 가서 90도로 인사하며 분위기에 방해되어 정말 죄송하지만 설문 하나 부탁드린다고 양해를 구했습니다. 그리고 무료안주를 드렸습니다. 그랬더니 반감을 가지셨던 손님들도 너그럽게 이해해주셨습니다.

설문이 끝나면 감사 인사와 함께 소주 하나 더 드렸습니다. 그러자 호기심을 보인 다른 테이블에서 먼저 물어보며 설문을 해주었습니다. 한 시간 정도 후, 한 장도 받지 못했던 설문 금방 끝낼 수 있었습니다."
11,"""몸치, 열정으로 한류를 전하다""

2015년 1월 무더운 캄보디아로 약 2주간 해외봉사를 다녀왔습니다. 매일 무더위 속에서 학생들에게 지어줄 도서관 건축을 위해 열심히 움직였습니다. 좋은점 1또한 현지 초등학생들에게 제기차기를 함께 하거나 부채와 탈을 주어 그것을 직접 꾸미게 하는 등의 교육 봉사를 통해 한국의 전통 문화도 알렸습니다. 
 
이 두가지 봉사보다 신체적, 정신적으로 힘들었던 것은 한류를 전하는 문화공연이었습니다. 저희 조가 맡게 된 공연이 아이돌의 춤이었기 때문에 몸치인 저는 무척 걱정이 되었습니다. 걱정만 하기엔 이미 돌이킬 수 없었기에 집에서 거울을 보며 혼자 연습을 하기 시작했습니다. 여러명이 추는 춤이기에 뒤에서 묻어가자라는 생각이 들었지만 연습을 하며 ‘내 인생에서 이런 일이 흔하지 않을텐데 남들보다 열심히 연습해서 제대로 된 무대를 만들어보자’라는 생각이 들었습니다. 하지만 티비에서 보던 화려한 그들의 춤과는 비교도 안될 정도의 모습에 자괴감이 들었습니다. 이에 굴하지 않고 현지에서도 건축봉사를 마치고 저녁 9시부터 연습을 했습니다. 전체 연습이 끝난 후에도 가장 잘 추던 조원에게 코칭을 부탁하여 개별적으로 연습을 하였습니다. 탈진할 만큼 힘이 들 때마다 지금 포기하면 앞으로 닥칠 어려운 일을 어떻게 해낼 수 있을 것인가라는 생각을 하며 버텼습니다. 결국 두 번의 공연에서 실수 없이 성공적으로 무대를 마칠 수 있었고 그저 몇 분짜리 공연이었지만 이는 제 인생에서 가장 성취감 있었던 경험입니다. 몸치였던 제가 많은 사람들 앞에서 무사히 공연을 마칠 수 있었던 것은 목표를 이루기 위한 열정이었습니다."
12,"제 성격의 장점은 주인의식을 갖고 책임감있게 행동한다는 것입니다.

OOOO에서의 아르바이트 근무 당시 제가 주로 담당했던 업무는 고객응대였습니다. 저는 고객에 대해 책임감을 갖고 고객의 니즈를 더욱 세세히 파악하여 고객을 만족시킬 수 있도록 노력하였습니다. 전화응대 또한 제 목소리가 곧 OOOO의 목소리라는 주인의식을 가지고 친절하게 응대하기 위해 노력하였습니다."
13,"1-2년 후에는 더 높은 수준의 보건분야 전문가의 능력을 함양하기 위해 각종 도서를 통한 자기계발(산업안전기사 / 산업위생관리기술사 취득)도 적극적으로 진행하고, 글로벌시대에 만족할 수 있는 엔지니어가 되기 위해 외국어 공부도 꾸준히 진행 할 예정입니다. 또한, 근로자들의 Needs를 만족시켜 줄 수 있고, 보건관리분야의 새로운 자료들을 습득하려고 노력하며, 업무 중에 Issue가 발생될 경우에는 적극적이고 긍정적으로 대응하겠습니다. 무엇보다 보건관리분야가 지원조직임을 명심하고 절대 우위에 있는 상태라고 판단하지 않으며 중대채해처벌법과 보건관리에 관한 전문가가 될 것 입니다."
14,"저는 다른 사람들에게는 소위 '꿀 보직'으로 통하는 'PX병'으로 22개월 간의 군 생활을 하였습니다. 다른 사람들은 ""편했겠다"", ""시간만 채우다 전역하면 그만"" 이라고 하는 군 생활이었지만, 모든 순간, 모든 자리에서 최선을 다하여야만 하는 저로서는 받아들일 수 없는 이야기였습니다. 휴식과 보충을 위해 PX를 방문하는 장병들의 입장에서 더 편리하고 쾌적하게 이용할 수 있는 방법을 고민했습니다. 요즘에는 보편화 되었지만 당시에는 생소했던, 편의점과 같이 냉동고 내에 칸막이를 직접 만들어서 설치하였습니다. 물품이 뒤섞여 정리되지 않던 이전과 확연히 구분되었고, 점장님과 지역본부를 통해 국군복지단에 우수마트 사례로 전달되었고, 그간의 근면한 근무 태도와 공로를 인정받아 전역에 맞춰 복지단으로부터 취업추천서를 받게 되었습니다.
이를 통해, 어떠한 자리에서도 최선을 다한다면 빛을 볼 수 있다는 것을 배우게 되었습니다.아쉬운점 1"
15,"최종 목표는 LG의 생산 장비와 공법의 고도화 및 내재화에 기여하는 것입니다. 외산에 의존하는 생산 요소를 국산화하고 지속 개선하여 경쟁력을 향상시키고 싶습니다. 입사 후, 목표 달성을 위한 세 가지 계획은 다음과 같습니다.

1. 발 빠르게 신기술과 최신 트렌드를 체득하여 개발 간 적용 방안을 강구하고, 협력사 및 고객의 니즈를 명확히 파악하여 목표를 설정하겠습니다.
2. 설계와 해석의 철저한 검증을 통해 실제 구현과 다르지 않게 하여 개발 효율을 높이겠습니다. 이를 통해 장비의 소음 및 진동 절감, 구조 안정성 확보, 냉각 효율 증대를 이루겠습니다.
3. 다양한 분야의 팀원들과 협업하고 문제 발생 시 신속히 해결하기 위해, 기구설계 분야에만 국한되지 않고 장비 전체에 대한 이해를 추구하겠습니다. 이를 위해 LG의 ‘DX대학’교육을 이수하고 SW역량을 키우겠습니다."
16,"[컴퓨터학부를 위하여!]
입학해서부터 지금까지, 컴퓨터학부의 학생이라는 자부심을 가지고 우리 학부의 발전을 위해 많은 노력을 하였습니다. 강한 소속감을 가지고 학부 학생들에게 도움이 되는 일은 기꺼이 자처하였습니다. 누구보다도 우리 학부의 상황을 잘 알고 있으며 많은 학생들과 가까이 지내왔다고 자부합니다.

2012년 한 해 동안 컴퓨터학부 학생회의 홍보기획부장 역할을 맡아 여러 행사를 기획하고 준비하였습니다. 2010년에 컴퓨터공학과와 컴퓨터과학과가 통합되어 IT대학 컴퓨터학부로 명칭은 바뀌었지만, 아직 학생들 사이엔 소통이 부족하여 작은 벽이 있었고, 다양한 학과행사 기획을 통해 이 벽을 허물기 위해 노력 하였습니다. 특히 신입생들이 학교생활에 잘 적응할 수 있도록 도움을 주었습니다. 편입생들과 자율전공에서 우리 학부로 진학한 학생들의 적응을 돕는 행사도 기획하였습니다.

작년 초부터 자발적으로 학생휴게실에 커피 자판기를 설치하고 관리해오고 있습니다. 학생들은 커피를 마시기 위해 먼 거리의 카페까지 가야 하는 불편함이 있었습니다. 저는 복학생실에 수년째 사용하지 않는 버려진 자판기가 있는 것을 기억하고 이 자판기를 사용하여 학생들의 불편함을 해소할 수 있을 것이라 생각하였습니다.

평소에는 이틀에 한 번 재료보충, 청소 관리를 하면 되었지만, 시험 기간에는 사용량이 많아, 하루에 한 번 이상 관리를 해야 했습니다. 단 한 번이라도 자판기 관리가 되지 않으면 학생들이 불편을 겪을 것이라는 책임감을 가지게 되어, 바쁜 일정을 쪼개어 매일 학교에 와서 관리를 하였습니다.

성실히 관리한 결과 다른 과 학생들도 와서 이용할 정도로 반응이 좋았습니다. 지금은 복학생회 소속 다른 학생들도 같이 관리를 도와주며, 컴퓨터학부의 하나의 휴식 문화로 자리 잡게 되었습니다.

졸업 후, SK C&C라는 새로운 조직에 속하게 되면 학부를 위하여 노력하였던 것처럼, 애사심을 가지고 회사의 발전을 위해, 그리고 부서의 화합을 위해 노력할 것입니다."
17,"""능동의 중요성을 깨닫다""

업무 수행에 있어 가장 중요한 것은 '능동의 가치'라고 생각합니다. 능동을 중요시하는 이유는 그 과정을 통해 개인과 팀 모두 목표를 달성하고 성장할 수 있기 때문입니다. 

OOOOOO 안내원으로 근무했던 경험을 통해 본인의 역할에 대한 능동적인 행동이 중요하다는 점을 배웠습니다. 하루는 공연 도중 관람객 한 분이 실신하는 사고가 발생했고, 모두가 당황해서 적절한 조치를 취하지 못하고 있었습니다. 그때, 한 안내원이 쓰러진 관람객의 상태를 확인한 후, 구급차를 불러 빠르게 상황을 수습했고 공연도 무사히 마무리할 수 있었습니다.

이후, OO기업에서 인턴으로 근무하며 능동의 가치를 실천하고자 노력했습니다. 저는 해당 업무에 대한 지시가 없었지만 스스로 회사 웹사이트 리뉴얼 전략을 수립해 기획안을 작성했습니다. 당시 회사의 웹사이트는 고객 관점에서 불편한 점이 존재한다고 판단했기 때문입니다. 팀장님으로부터 허가를 받아 웹사이트 리뉴얼을 진행할 수 있었습니다.
좋은점 1"
18,"[자료구조론 B+, 운영체제론 B0, 데이터베이스론 A+, 프로그래밍 언어론 A+]
4학년 1학기를 마치고 스스로를 돌아보는 시간을 가졌습니다. 이대로 남은 학기를 마치고 입사를 하게 된다면 일 하는 자신이 부끄럽게 느껴질 정도로 전공 지식이 부족하다고 판단하였습니다. 더 이상 고민할 것이 없었으며 1년 휴학을 감행했습니다. 휴학동안 목표는 단 하나 전산학 기초 네 과목의 이론을 확실히 정립하는 것이었습니다.

제가 정한 네 과목은 자료구조론, 운영체제론, 데이터베이스론, 프로그래밍 언어론이었습니다. 1년동안 세부적인 계획을 세워 공부하였습니다. 운영체제론과 데이터베이스론에 조금 더 비중을 두어서 공부하였는데 그 이유는 자료구조론과 프로그래밍 언어론에 비해 범위가 넓고 더욱 중요하다 생각했기 때문입니다."
19,"색만 구분했을 뿐인데
잠실야구장 매표소 직원으로 일했던 시절, 발상의 전환을 통해 관중의 불편함을 최소화했던 경험이 있습니다. 작년 프로야구 시즌이 시작함과 동시에 업무에 투입됐고, 저는 주로 1매표소 예약창구에서 근무했습니다. 모바일 및 인터넷을 통해 예약해 온 관중들이 신속하게 표를 찾고 구장으로 들어갈 수 있도록 도와주는 역할을 했습니다. 구체적인 업무는 티켓 발권을 기본으로 구장 입구 안내, 좌석 안내 등을 담당했습니다.

하지만 예약 전용 창구에는 현장 발권에 필요한 카드 리더기와 현금이 구비되어 있지 않았습니다. 문제는 여기서 시작됐습니다. 판넬로 창구 구분이 되어 있지만, 햇빛으로 인해 명확하게 인지가 되지 않아 현장 발권을 원하는 여러 명의 관중이 창구를 잘못 찾아와 혼선을 빚었던 것입니다. 또한, 관중이 몰리는 바쁜 시간에 이뤄지는 혼란이라 관중들의 불만이 폭주해 관리자가 항상 바빴습니다.

이 문제점을 해결해 관리자와 관중들 모두의 스트레스를 해소해 주고 싶어 대처 방안을 생각했습니다. 바로 창구 바리케이드에 각각 색깔 띠를 붙여 명확하게 창구를 구분하는 것이었습니다. 아주 간단한 방법이지만 이를 통해 도움을 줄 수 있을 것으로 생각해 관리자에게 이 아이디어를 제안했습니다.

저의 아이디어를 긍정적으로 생각해 준 관리자와 함께 창구 바리케이드에 각각 노란색과 빨간색으로 예약 창구와 현장 발권 창구를 구분했습니다.

이처럼 간단한 발상의 전환을 통해 경기장을 찾는 관중들의 불만을 최소화했습니다. 특히 바쁜 시간에 혼란을 최대한으로 줄여 빠른 업무 회전율을 보여 많은 관중이 경기 시작 전에 구장으로 들어가도록 도움을 줬습니다.

입사 후에도 고객과 팀원들이 겪을 불편함을 해소하기 위해 항상 다각도의 시선으로 모든 것을 바라보겠습니다. 그래서 작게나마 모두에게 도움을 줄 수 있는 팀에 긍정적인 에너지를 안겨 주는 사원이 되겠습니다."
20,"[목표를 설정하고 성취해나가는 성실한 도전가]
근면과 정직을 강조하고 중요하게 생각하시는 부모님을 본받아 어린 시절부터 자연스럽게 성실함을 체득하였습니다. 따라서 근면성실을 무기로 변화와 도전을 두려워하지 않는 것이 저의 가장 큰 장점입니다. 대학 내 지적재산권학회 부회장으로서 참여부진으로 해체위기에 빠진 학회를 단합대회와 성공적인 모의재판을 통해 다시 일으켰던 사례와 비전공자를 배제하는 분위기에서도 적극적으로 경제학 수업 팀플레이에 참여하여 팀장의 역할을 수행하며 학기 말 평가에서 당당히 팀플레이 2위라는 소기의 목표를 달성한 사례, 그리고 대학생 봉사단에서 영상팀장을 맡아 CSR 필름페스티벌에 참여하여 활동영상을 제작해 본선에 선발되었던 사례는 저의 도전 정신과 리더십을 보여주는 값진 경험이었습니다.

[위기를 극복하는 긍정]
중학교 1학년 때 경솔한 말실수와 오해로 한 친구에게 상처를 입혔고 그 일로 가장 친했던 친구들과 멀어졌던 시간이 있었습니다. 힘든 시기였지만 오히려 저는 제 단점을 바로잡는 계기로 삼자며 긍정적으로 생각했습니다. 바른 언행과 다른 사람을 배려하고 아끼는 마음을 갖기로 다짐하였고 이를 실천하고자 노력하였습니다. 이후 적극적으로 해명하는 과정을 통해 오해가 풀려 친구와 화해하게 되었고 관계를 다시 회복할 수 있었습니다. 그때 생긴 다른 사람을 먼저 배려하고 소통하려는 자세는 그룹의 장으로서 역할을 수행하는데 도움을 주었습니다."
21,"GS리테일에 관심을 갖게 된 동기는 제가 아르바이트생 시절 때나 간단히 한 끼를 해결하기 위해 편의점 도시락 및 김밥을 이용하면서 입니다. 편의점에서 파는 각종 편의점용 도시락 및 기타 음식들은 학생들, 직장인과 혼족들을 위해 적합한 상품이지만, 나트륨 함량이 적정 기준치 이상이어서 건강에 위험요소로 작용할 것 같단 생각이 들었습니다."
22,"제가 이룬 가장 큰 업적은 처음으로 맡은 업무를 성공적으로 수행한 것입니다. 저는 현재 교육기관에서 국제협력본부 인턴으로 근무하고 있습니다. 입사하면서 맡게 된 업무 중 하나는 주한 대사관 및 명예영사 추천 장학 프로그램을 운영하는 것입니다. 하지만 실무 경험이 없었으며, 학교에서 처음으로 진행하는 프로그램이라 많은 것이 부족했습니다.

하지만 전 지원자들이 겪는 어려움을 신속하고 정확하게 해결해주는 것을 목표로 삼았습니다. 다양한 국적을 가진 외국인들이 문의하면 전 먼저 내부적으로 공유하면서 도움을 받을 수 있는 동료가 누군지 확인했습니다. 해외에서 오직 온라인을 통해 학위를 취득할 수 있냐는 문의를 받은 전 다른 본부에 방문하여 도움을 요청하였고 관련 법령이 아직 준비되지 않아 현실적으로 어렵다는 답변을 받아 학생에게 빠르게 전달할 수 있었습니다.

또한, 학생들의 문의를 문서로 정리해 해당 파일을 프로그램에 관심 있는 학생이 문의할 때마다 전달했습니다. 이는 학생들의 궁금증을 전보다 편리하게 해결할 수 있었고, 부족한 점은 꾸준히 업데이트해 해결할 수 있었습니다. 이후에도 업무를 수행할 때 주기적으로 발전하는 것이 중요하다는 사실을 깨달을 수 있었습니다.

프로그램은 예상보다 많은 인원인 총 8개국에서 추천한 13명의 학생이 지원하는 것으로 마무리되었습니다. 또한, 지원자 대부분이 저에게 헌신적으로 도와줘서 고맙다고 이야기했습니다. 제가 세운 목표를 성공적으로 달성했기 때문에 성취감을 느낄 수 있었습니다. 제가 만약 입사하게 된다면 작을지언정 주기적으로 이루고자 하는 목표를 세워 성취감을 누리도록 노력하겠습니다."
23,"[작은 잠재력에서 큰 가능성을 보기 위하여]

1.유연성 2.전문성 3.성실성 4.적극성

유연성을 첫번째로 꼽고 싶습니다. 그 이유는 유연성이야 말로 오늘날의 투자가가 가져야할 가장 중요한 덕목중에 하나라고 생각합니다.
기업의 적정 주가를 측정함에 있어서 실적의 성장가능성을 기반으로 한 멀티플의 변동은 아주 중요한 요소입니다. 멀티플의 변화에 발 빠르게 대처하기 위해서 바로 유연한 사고가 필수적입니다.

유연한 사고능력은 자신만의 고집에 빠지게 않게 하는 안정장치이며, 새로운 분야에 대한 시장의 평가를 편견 없이 바라보게 하는 거울입니다. 경직된 사고는 나의 경험과 지식에만 의존하게 만듭니다.

진짜 투자자는 시장에 맞써 싸우기 보다는 시장의 목소리에 귀기울일줄 알아야 합니다. 또한 마음의 귀를 열고 경청하는 자세를 통해 작은 잠재력에서 큰 가능성을 발견할 수 있어야 합니다."
24,"저는 빠르진 않지만 천천히, 꾸준히 성장하는 사람입니다. 저를 성장하게 하는 것은 관심과 호기심입니다. 흥미는 제가 맡은 업무에 대해 지속적인 관심을 두게 하고, 관심을 무한한 호기심으로 발전하여 맡은 업무에 대해 집중적으로 생각하고, 분석하며 학습하게 합니다.

이런 과정에서 창의적인 사고가 가능하게 되며 직무에 대해 더욱 깊은 지식과 경험을 쌓게 될 것입니다. 지식과 경험의 축적은 제가 담당 분야의 장인이 되게 하는 원동력이 될 것입니다. 르노삼성자동차에 입사하여 저의 생각을 함께 나누고 싶습니다."
