row_no,company,question_no,core_claim_display,core_claim_score,core_claim_reason,first_sentence,question
37,동양생명보험(주),3,✅,50,첫 문장에 핵심 주장 신호가 있습니다.,"""고기도 씹어 본 사람이 그 느낌을 알고, 타인에게 권한다.""
: 보험업은 현장에서 경험해 본 사람과 그렇지 않은 경우가 차이가 큰 영역입니다.",이력서 기재 사항 외 본인을 어필할 수 있는 사항이나 입사 후 성장 계획 등 추가적으로 언급하고 싶은 사항이 있다면 기술해 주십시오. (800자)
1,금융결제원,1,✅,35,첫 문장에 핵심 주장 신호가 있습니다.,"""최고가 되기 위해서""

금융결제원은 국내 다양한 금융 관련 서비스를 지원하는 최고의 기업입니다.","금융결제원 지원 동기(금융결제원이 본인을 채용해야 하는 이유) ※ 작성 내용에 본인의 성명, 출생지, 성장지, 출신 학교(동아리명, 대회명, 교수명 등), 가족관계 등 인적 사항을 확인할 수 있는 사항이나 허위사실이 포함될 경우 불이익이 있습니다. (예시 : 일체의 인명 작성 금지(위인, 유명인, 작가 등 포함) / 구체적 동아리명 → OO 관련 동아리 / 구체적 회사, 부서명 -> ○○회사에서 ○○업무를 할 당시 / 지원자가 특정되는 논문 제목, 대회 및 링크 언급 금지 / 미국 학창 시절, 프랑스 교환학생 -> 해외 학창 시절, 외국 교환학생)"
3,금융결제원,3,✅,35,첫 문장에 핵심 주장 신호가 있습니다.,"""노력의 발자취""

개인 프로젝트 중 기억에 남는 것은 member의 id를 통해 이름을 가져오기 위한 fetch join을 사용해 여러 값들을 한꺼번에 가져오는 것이었습니다.",채용공고 상의 수행 직무 및 본인이 희망하는 관심 직무와 관련하여 전문가가 되기 위한 노력(프로젝트 경험 등)을 구체적으로 기술하시오.(프로그램 개발 언어 사용 능력 등 기술적 설명 포함)
4,금융결제원,4,✅,35,첫 문장에 핵심 주장 신호가 있습니다.,"""융합이란, IoT란""

4차 산업혁명이 도래하며 세계는 빠르게 발전하고 있습니다.","조직(예 : 학교, 동아리, 가족 등)의 구성원으로서 갈등이 있었던 상황을 설명하고, 원인, 대처방안, 현재 시점에서의 판단을 구체적으로 기술하시오."
10,㈜아이티센글로벌,2,❌,30,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.",저는 다양한 사람들과 많은 프로젝트를 실시하였습니다.,본인이 지원한 직무와 관련한 경험 중 성공했거나 실패했던 사례가 있다면 기재해 주세요.
11,㈜아이티센글로벌,3,❌,30,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.",제가 살아가면서 느꼈던 가장 중요한 가치는 타인과의 조화입니다.,인생을 살아가면서 가장 중요하다고 생각하는 가치가 있다면 본인의 경험을 토대로 그 이유에 대해서 기재해 주세요.
18,㈜다우기술,2,❌,30,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","""최고의 회사, 최고의 개발자"" 

1.",본인이 회사를 선택하는 기준을 바탕으로 우리 회사를 선택한 이유를 작성해 주세요.
31,㈜카카오스타일,2,❌,10,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","- **즐거움과 열정을 갖고 배울 수 있는 개발자**

대학생 때 자바를 접한 후 처음에는 취업을 위해 여러 활동을 해 보았습니다.",자유양식
51,한국무역보험공사,2,❌,10,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","""업무 추진력의 바탕 : 세밀한 기획""

인문학 교실을 기획하고 운영하는 프로그램 당시, 일정이 바뀌어 인턴십이 겹치고 하차 인원이 생겨 인력, 시간이 부족했고 이를 극복하기 위해 다음과 같이 행동했습니다.","본인이 살아오면서 가장 열정적 또는 헌신적으로 몰두했던 일(학업, 구직활동 제외)은 무엇이었는지 설명하고, 해당 경험이 입사 이후 업무 수행에 어떠한 도움이 될 수 있는지 기술해 주십시오."
52,한국무역보험공사,3,❌,10,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","""갈등 관리를 통한 팀 네트워킹""

기술의 영향과 대응에 관한 팀 과제 당시 팀장은 유학생을 과제에서 소외시키려 해 분위기가 어색해졌고 회의 진행이 어려워 팀장을 설득하기로 했습니다.","새로운 조직, 단체에서 빠르게 적응하기 위해 노력한 경험은 무엇이며, 빠르게 적응할 수 있는 본인만의 효과적인 방법은 무엇인지 기술해 주십시오."
95,㈜셀트리온,1,❌,0,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","“세상을 이롭게”
고등학교 1학년 시절 당시 생물 선생님께서 ‘램시마’에 대해 얘기해 주셨습니다.",Why Celltrion?
170,㈜한솔홈데코,3,❌,0,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","""지출 최적화와 지원""
대학교 학부 사무부장을 인수인계받을 당시 결산 잔액이 연초 대비 5%도 남아있지 않았습니다.",어려운 환경이나 상황에 부딪혔을 때 이를 극복하기 위해 노력한 경험에 대하여 기술해 주시기 바랍니다.
424,해성디에스,4,❌,0,"첫 문장에 핵심 역량, 성과, 문제 해결 경험을 더 직접적으로 제시하세요.","''최고를 목표로''
고등학교 3학년 때 1, 2학년 성적이 낮고 활동 내역이 없어 지망 대학교 지원이 어려웠습니다.",이유를 말씀해주세요(300자)
